"openid","roleid","nickname","membership_tier","cumulative_topup_thousand_vnd","tier_history","max_single_topup_vnd","transaction_count","last_topup_date","ladder","matches","weapon_summary"
"756085795","1022236963","SúcVậtCute。<3",1,446296,"44441221",72019000,258,"2026-07-03",23,5853,"0:713:105,158,91,154,121,50,34|10102089006:409:135,79,65,37,29,19,45|10206005006:365:93,33,14,37,76,29,83|10202019006:321:0,91,117,46,25,19,23|10102089001:277:125,15,22,18,47,20,30|10614011006:245:0,35,119,36,36,15,4|10101156006:183:0,0,0,0,31,8,144|10101234006:174:40,10,51,6,30,36,1|10101196006:97:81,12,1,1,1,1,0|10101098006:94:0,0,31,35,20,7,1|10614005006:92:0,0,5,29,41,15,2|10102096006:71:13,2,17,3,2,14,20|10101001006:69:5,44,15,0,4,0,1|10505008006:67:0,0,0,0,21,38,8|10101264006:65:0,7,21,8,28,0,1|10141003006:64:0,5,15,1,34,0,9|10201036006:53:0,0,0,27,12,14,0|10101118006:51:25,17,1,0,8,0,0|10102133006:50:0,0,0,29,13,5,3|10614009006:49:14,7,4,24,0,0,0"
"306856319","1325641530","ʟᴜᴍɪɴᴇ",4,307458,"24444",99960000,136,"2026-07-11",23,3375,"10101156006:510:0,0,0,0,113,311,86|10101264006:407:0,0,240,113,47,7,0|10102133006:322:0,0,0,52,123,80,67|10102064006:266:0,0,85,123,49,9,0|10102096006:257:0,0,0,0,0,80,177|10102102006:177:0,0,0,136,29,9,3|0:166:0,0,18,57,34,34,23|10101186006:108:0,0,0,0,98,7,3|10614005006:106:0,0,1,30,37,15,23|10614011006:91:0,0,2,30,28,17,14|10201033006:89:0,0,0,0,0,0,89|10202036006:81:0,0,0,3,38,34,6|10101098006:76:0,0,0,50,9,8,9|10102133001:55:0,0,0,17,11,7,20|10101122006:48:0,0,1,38,8,1,0|10202055006:33:0,0,0,0,0,18,15|10101035006:33:0,0,0,33,0,0,0|10101008006:30:0,0,0,7,21,2,0|10201033001:30:0,0,0,0,0,0,30|10102115006:29:0,0,0,6,11,8,4"
"540909060","1285520450","TriLuyen",4,212265,"23334444",17493000,177,"2026-07-15",14,1491,"10102096006:360:5,2,67,21,148,0,117|0:326:54,33,19,16,199,0,5|10102089006:124:47,4,4,2,7,0,60|10102133006:98:0,0,0,53,41,0,4|10101102006:80:76,3,1,0,0,0,0|10101156006:75:0,0,0,0,41,3,31|10101234006:53:3,13,11,6,15,0,5|10202018006:45:43,2,0,0,0,0,0|10120008006:40:38,2,0,0,0,0,0|10202019006:29:0,12,5,5,7,0,0|10101081006:22:21,0,1,0,0,0,0|10101118006:21:5,16,0,0,0,0,0|10140002006:20:17,1,0,0,2,0,0|10206005006:19:10,4,0,1,3,0,1|10101098006:17:0,0,17,0,0,0,0|10704023006:13:9,3,0,0,1,0,0|10101264006:12:0,4,2,0,3,0,3|10102116006:11:0,0,11,0,0,0,0|10101240006:10:0,0,10,0,0,0,0|10102133001:10:0,0,0,6,4,0,0"
"227455660","1718484992","4ғɢ丶Mymy",4,205401,"13334444",15019000,733,"2026-07-11",5,1639,"10202019006:289:0,0,112,82,73,4,18|10102089006:206:46,56,59,33,8,3,1|10614005006:179:0,0,10,75,85,4,5|10503004006:133:0,7,94,32,0,0,0|10206005006:112:0,10,86,16,0,0,0|10202073006:87:53,34,0,0,0,0,0|10102096006:86:40,9,6,22,4,2,3|10101102006:69:57,5,7,0,0,0,0|0:60:13,1,15,23,6,2,0|10101264006:46:0,0,9,37,0,0,0|10101196006:37:36,1,0,0,0,0,0|10515004006:36:17,17,2,0,0,0,0|10102133006:36:0,0,0,6,15,8,7|10202074006:35:25,10,0,0,0,0,0|10614011006:28:0,1,13,14,0,0,0|10101006006:27:27,0,0,0,0,0,0|10614009006:15:4,3,8,0,0,0,0|10614019006:15:0,0,0,0,0,4,11|10102064006:15:0,0,15,0,0,0,0|10505008006:11:0,10,1,0,0,0,0"
"75693314","1088806383","NÁT.001",4,188536,"23334444",17493000,302,"2026-07-11",23,5825,"10102089006:918:78,91,492,107,21,69,60|10101156006:844:0,0,0,0,164,415,265|10202019006:454:0,0,0,156,135,135,28|10101264006:345:0,16,68,64,165,29,3|10102096006:287:24,10,81,46,41,57,28|10202010006:281:0,0,260,21,0,0,0|10102089001:216:44,16,76,27,22,18,13|10101234006:205:9,39,107,37,9,3,1|0:201:27,27,44,48,18,24,13|10101102006:193:115,20,15,43,0,0,0|10102133006:163:0,0,0,53,82,21,7|10614011006:163:0,27,59,21,37,9,10|10614005006:152:0,0,13,54,32,36,17|10206005006:96:0,0,0,80,8,4,4|10101098006:92:0,0,67,12,0,9,4|10206005001:89:0,0,21,65,2,1,0|10101122006:87:0,0,66,16,2,2,1|10102064006:77:0,0,75,1,1,0,0|10617013006:58:0,0,0,51,7,0,0|10202055006:53:0,0,0,0,0,14,39"
"24200409","1692123296","Supercow",4,171694,"13334444",47481000,90,"2026-07-14",0,21,"10102089006:7:3,0,0,0,4,0,0|10101156006:3:0,0,0,0,3,0,0|10102096006:2:0,0,0,0,2,0,0|10206005006:2:1,0,0,1,0,0,0|10101264006:2:0,1,0,1,0,0,0|10102121006:1:0,0,0,1,0,0,0|10102133006:1:0,0,0,1,0,0,0|10413006006:1:0,0,0,0,0,0,1|10101234006:1:1,0,0,0,0,0,0|10202019006:1:1,0,0,0,0,0,0"
"442836625","1381906204","WLs丶GameNhưCặc",4,161725,"12233444",22491000,91,"2026-07-17",23,4089,"10102096006:754:144,84,119,53,61,194,99|10102089006:485:233,79,107,17,24,10,15|10101118006:286:36,211,32,1,0,6,0|10101264006:250:0,85,142,0,0,21,2|10101196006:233:175,36,15,7,0,0,0|10101131006:150:0,75,53,3,6,8,5|10101156006:123:0,0,0,0,20,43,60|10206005006:112:0,0,58,10,40,4,0|10101102006:90:74,3,4,9,0,0,0|0:89:10,8,25,12,26,5,3|10102133006:88:0,0,0,13,20,41,14|10101150006:76:0,0,76,0,0,0,0|10101234006:75:32,17,19,3,2,0,2|10102007006:73:21,15,26,3,0,6,2|10101240006:73:0,0,73,0,0,0,0|10202036006:56:0,0,0,19,15,5,17|10614011006:51:0,0,6,12,14,3,16|10102089001:47:15,5,9,7,8,1,2|10101098006:46:0,0,42,4,0,0,0|10102064006:41:0,0,33,6,0,2,0"
"145737739","1569147393","Mductkshop3577",4,163442,"22334444",13456000,386,"2026-07-16",23,4845,"10206005006:800:153,195,249,148,42,10,3|0:559:186,76,86,114,60,33,4|10102089006:495:152,72,100,101,48,22,0|10202036006:296:0,0,0,15,148,22,111|10101156006:275:0,0,0,0,203,62,10|10202064006:263:0,171,61,31,0,0,0|10101234006:170:21,21,14,27,24,3,60|10102096006:151:21,1,66,25,12,8,18|10614005006:120:0,0,31,26,35,25,3|10202010006:109:0,0,93,6,10,0,0|10614011006:104:0,28,34,21,6,13,2|10102133006:87:0,0,0,39,41,7,0|10202074006:82:79,3,0,0,0,0,0|10614019006:55:0,0,0,0,0,10,45|10102250006:54:54,0,0,0,0,0,0|10221007006:52:41,6,2,3,0,0,0|10102089001:46:21,9,8,4,3,1,0|10101196006:45:45,0,0,0,0,0,0|10201055006:43:0,0,32,11,0,0,0|10704023006:42:28,4,6,2,2,0,0"
"339065643","1611887628","KNM丶Sịp_Rách",4,161233,"12233444",15493000,189,"2026-07-16",19,1873,"10101156006:200:0,0,0,0,38,28,134|0:193:44,36,10,9,32,32,30|10102096006:152:121,12,9,1,2,4,3|10101081006:123:74,10,0,1,22,15,1|10101102006:111:5,68,22,16,0,0,0|10101234006:104:27,6,5,1,8,26,31|10101196006:94:84,5,0,0,0,5,0|10101186006:76:0,0,0,2,31,34,9|10102089006:71:8,20,3,6,26,8,0|10101122006:66:0,0,25,25,9,7,0|10101287006:61:0,0,0,9,4,23,25|10206005006:52:6,13,0,2,20,9,2|10101006006:43:0,43,0,0,0,0,0|10413006006:41:0,0,0,0,0,0,41|10505008006:37:0,0,0,0,8,16,13|10101076006:35:35,0,0,0,0,0,0|10101264006:32:0,20,9,3,0,0,0|10102133006:31:0,0,0,10,15,6,0|10101131006:31:0,2,1,1,18,3,6|10120008006:26:26,0,0,0,0,0,0"
"514342275","1579529656","乂乂丶Adoda",4,158585,"22233444",15438000,389,"2026-07-15",23,2451,"10102096006:502:139,98,88,8,90,19,60|10102089006:423:173,88,89,14,22,9,28|10101156006:223:0,0,0,0,59,65,99|10101102006:138:134,1,3,0,0,0,0|10102133006:122:0,0,0,0,118,3,1|0:111:47,13,5,8,17,8,13|10202018006:86:40,12,3,24,7,0,0|10101234006:72:42,22,3,0,4,0,1|10101131006:53:0,38,3,0,0,0,12|10101264006:39:0,6,31,0,0,0,2|10102064006:38:0,0,33,3,0,1,1|10101081006:33:21,9,0,1,1,0,1|10102089001:32:13,12,3,1,3,0,0|10101118006:32:14,18,0,0,0,0,0|10206005006:30:20,10,0,0,0,0,0|10202019006:28:0,0,0,0,8,13,7|10101008006:23:0,0,0,0,5,1,17|10101196006:22:17,0,3,0,1,0,1|10102133001:21:0,0,0,0,19,2,0|10515004006:18:0,18,0,0,0,0,0"
