"openid","roleid","nickname","cumulative_topup_thousand_vnd","tier_history","matches"
"76360432","1367827588","SupercowV",63426,"33111111",0
"689476630","1616836825","DoomD",17972,"22111111",0
"851737596","1423534875","Nano-pro",17337,"22111111",0
"497830100","1599619618","lamdeptraii",17028,"22111111",0
"582884078","1298661173","Ｔｏｎｙ",15243,"22111111",0
"596151606","","",12465,"221111",0
"88359553","1548170421","JB︵Binoɞ",11996,"",697
"431746162","1817013641","TýHeoMap",11990,"",894
"285031044","1572281713","꧁ᬊᬁ1vᬊ᭄꧂",11990,"",1905
"391275485","1745030655","MarkDigBick",11989,"",713
"264612845","1605979147","Quang_Tèo_86",11988,"",2462
"861441539","1072235741","Beoloo",11985,"",66
"613476523","1026251670","Meta01",11985,"",973
"421807946","1238916765","Minhloi91",11982,"",1126
"516620844","1628737305","нoàιɴᴀм",11982,"",207
"953478288","1512659254","GánhMộtlủNgu",11977,"",946
"544542049","1661986403","AgS丶®NamKa®",11976,"",2847
"706433293","1034177806","๖ۣۣۜSjnۣۣۜDy۶",11969,"",1545
"421857447","1887653568","253.",11964,"",1585
"692530531","1382286705","༺Yuu࿐",11960,"",433
"843780369","1390557554","ZH丶NguyễnVănAn",11959,"",4233
"146996667","1360943756","本MHKG本",11958,"",736
"800529402","1152410671","KuNaij",11957,"",3923
"73457522","1113423320","(^_^〤uҜa︵ƊươnƓ",11957,"",2289
"470423866","1866330234","BaLô-Số7",11956,"",1529
"65478324","1098091636","SoM_Hades",11956,"",497
"794473632","1491785100","AF丶Phát_Snáck",11947,"",4962
"838611410","1387542125","NĐG丶MHướng",11947,"",369
"169844020","1399094931","LongHoàngDzメ",11939,"",350
"564144673","1940925679","HảiĐăngBùi",11938,"",2326
"986463297","1653194254","ĐoànHải273",11937,"",1698
"220672892","1134315432","天下无双～",11936,"",6781
"155329507","1383086595","AGL-LỗNhịThâm",11934,"",2808
"926075570","1601907322","『MS』LoliKawaii",11932,"",2219
"637880738","1972691421","SiroMint",11932,"",344
