"id","name","pham","fam","loai","tot","M_T1_CB","M_T1_DN","M_T1_TA","M_T1_HT","M_T1_F","M_T2_CB","M_T2_DN","M_T2_TA","M_T2_HT","M_T2_F","M_T3_CB","M_T3_DN","M_T3_TA","M_T3_HT","M_T3_F","M_T4_CB","M_T4_DN","M_T4_TA","M_T4_HT","M_T4_F","M_T5_CB","M_T5_DN","M_T5_TA","M_T5_HT","M_T5_F","M_T6_CB","M_T6_DN","M_T6_TA","M_T6_HT","M_T6_F","M_T7_CB","M_T7_DN","M_T7_TA","M_T7_HT","M_T7_F"
"10101006006","AK47-Beast","Gold V","AK47","Rifle",66009282,18110677,601390,11627,1022,12704652,8049844,170886,2498,223,4913291,5546607,99245,847,121,3175561,2762786,52808,584,83,1763279,2354643,37978,234,37,1502305,1717430,20675,103,53,1090477,754201,7444,36,11,555624
"10101005006","AK47-Iron Beast","Gold V","AK47","Rifle",37921896,5279091,184657,2913,138,4310340,4736180,119032,1254,160,2975167,3823384,63390,864,91,4352354,2212194,41140,245,4,2225566,1324452,14598,130,1,2199488,1057287,7159,99,0,1624109,464449,2230,45,0,899685
"10102005006","M4A1-Iron Beast","Gold V","M4A1","Rifle",22695412,4543114,159673,3636,153,4927142,2160405,55417,503,35,2037549,2125493,66625,1225,22,1483274,901742,30415,548,1,711586,900080,27635,399,3,724229,641202,17531,181,2,551708,316618,5237,68,3,301958
"10101028006","AK47-Born Beast","Gold V","AK47","Rifle",15301737,14,0,0,0,0,2895962,74423,1230,562,3620249,1786971,33034,292,9,1982487,696386,11539,64,5,903450,494206,10012,52,0,606154,333722,4004,33,0,445168,755291,24515,338,10,621555
"10102025006","M4A1-Predator","Gold V","M4A1","Rifle",12729459,2442421,59707,1633,70,2813420,1313440,23853,464,8,1365792,1062960,17079,250,8,1054611,367270,6393,145,12,456330,372780,6618,94,0,499213,202061,2653,96,0,345014,116798,1502,41,0,196723
"10201003006","AWM-Infernal Dragon","Gold V","AWM","Sniper",11063480,1228793,66785,2875,250,1188934,1308817,61400,1462,101,810970,1553568,60690,1034,126,963795,807383,33203,447,59,518828,609024,17531,187,15,460063,508411,14345,427,15,367501,263343,8362,194,12,204530
"10101076006","AK47-Born Beast-Beta","Silver V","AK47","Rifle",10119553,1941264,31031,678,107,4855416,566630,7301,43,5,1583934,84594,795,15,0,415911,36784,336,13,0,204288,29499,178,15,0,150623,22370,52,1,0,121912,12712,96,3,0,52947
"10202074006","Barrett M82A1-Winter","Gold VVIP","Barrett","Sniper",8360622,2535211,157480,5705,416,22,1849240,85231,1320,98,36,1516725,57068,278,18,24,705498,30026,139,16,3,629971,22894,57,2,4,477020,16683,29,2,7,260812,8566,21,0,0
"10101053006","AK47-Earl Royal","Gold VVIP","AK47","Rifle",7331524,348984,9647,264,9,515633,8772,264,0,0,13756,1640454,62269,1430,123,597998,1120708,26433,507,25,729157,704767,15131,227,2,431770,430997,7747,110,14,258564,257239,5882,89,30,142522
"10101201006","AK47-Born Beast Blood Warrior-Beta","Silver V","AK47","Rifle",6642709,903498,12993,536,7,3450218,251617,3039,25,0,1130246,49950,396,1,0,356640,21847,196,0,0,169952,16092,45,1,4,119305,20279,198,8,0,95638,4910,30,0,0,35038
