"id","display_name"
"10101008006","AK47-Beast-Noble Gold"
"10102007006","M4A1-Iron Beast-Noble Gold"
"10202018006","Barrett M82A1-Born Beast-Noble Gold"
"10602026006","Desert Eagle-Born Beast-Noble Gold"
"10704012006","Kukri-Beast-Noble Gold"
"10101111006","AK47-Born Beast-Noble Gold"
"10202030006","Barrett M82A1-Iron Shark-Noble Gold"
"10102138006","M4A1-Beast-Noble Gold"
"10607011006","RSH-12-Born Beast-Noble Gold"
"10707016006","Shovel-Born Beast-Noble Gold"
"10102156006","M4A1-Born Beast-Noble Gold"
"10209008006","QBU09-El Dorado-Noble Gold"
"10101179006","AK47-Steel Empire-Noble Gold"
"10602072006","Desert Eagle-Thunder-Noble Gold"
"10705016006","Bladed Knuckles-Infernal Dragon-Noble Gold"
"10101084006","AK47-Iron Beast-Noble Gold"
"10102115006","M4A1-Predator-Noble Gold"
"10201033006","AWM-Infernal Dragon-Noble Gold"
"10602037006","Desert Eagle-El Dorado-Noble Gold"
"10703019006","B.C Axe-Beast-Noble Gold"
"10802079001","Flashbang-Armoured Beast-Noble Gold"
"10803066001","Smoke-Armoured Beast-Noble Gold"
"10802043001","Flashbang-Born Beast-A-Noble Gold"
"10803031001","Smoke-Born Beast-A-Noble Gold"
"10802010001","Flashbang-Iron Beast-Noble Gold"
"10803014001","Smoke-Iron Beast-Noble Gold"
"10803026001","Smoke-Beast-Noble Gold"
"10802036001","Flashbang-Beast-Noble Gold"
"10802066001","Flashbang-Quan Vũ-Noble Gold"
"10803050001","Smoke-Quan Vũ-Noble Gold"
"10802019001","Flashbang-Born Beast-Noble Gold"
"10803017001","Smoke-Born Beast-Noble Gold"
"10802093001","Flashbang-Titanium Beast-Noble Gold"
"10803083001","Smoke-Titanium Beast-Noble Gold"
"10801114001","Grenade-Beast-Noble Gold"
"10602089006","Desert Eagle-Tào Tháo"
"10707027006","Shovel-Tào Tháo"
"10102153006","M4A1-Tư Mã Ý"
"10102131006","M4A1-Mã Siêu"
"10617008006","Dual Double Barrel-Mã Siêu"
"10706031006","Spear-Mã Siêu"
"10101156006","AK47-Tào Tháo"
"10202028006","Barrett M82A1-Hoàng Trung"
"10602043006","Desert Eagle-Hoàng Trung"
"10702050006","Bloody Blade"
