"openid","roleid","nickname","weapon_id","total","T1","T2","T3","T4","T5","T6","T7"
"185332433","1275521415","","10101102006",269,183,10,6,29,38,1,2
"185332433","1275521415","","10101156006",256,0,0,0,0,32,132,92
"185332433","1275521415","","10101131006",168,0,67,40,56,2,0,3
"185332433","1275521415","","10101166006",142,0,0,124,17,1,0,0
"185332433","1275521415","","10101118006",98,0,79,4,13,2,0,0
"185332433","1275521415","","10101150006",88,0,0,0,30,54,4,0
"185332433","1275521415","","10101234006",86,10,2,0,0,63,11,0
"185332433","1275521415","","10202010006",81,0,0,2,7,31,37,4
"185332433","1275521415","","0",42,10,3,1,4,0,20,4
"185332433","1275521415","","10202064006",22,0,15,7,0,0,0,0
"185332433","1275521415","","10702001001",18,0,0,10,0,5,3,0
"185332433","1275521415","","10202055006",17,0,0,0,0,0,0,17
"185332433","1275521415","","10102133006",14,0,0,0,0,0,13,1
"185332433","1275521415","","10101078006",13,13,0,0,0,0,0,0
"185332433","1275521415","","10102041006",12,5,7,0,0,0,0,0
"426385754","1385851660","黄河//Scent","0",142,50,17,30,14,9,9,13
"426385754","1385851660","黄河//Scent","10101234006",120,9,38,3,21,46,2,1
"426385754","1385851660","黄河//Scent","10101156006",96,0,0,0,0,0,36,60
"426385754","1385851660","黄河//Scent","10101102006",57,22,1,30,2,2,0,0
"426385754","1385851660","黄河//Scent","10101131006",25,0,6,15,0,1,0,3
"426385754","1385851660","黄河//Scent","10101081006",25,19,2,0,2,2,0,0
"426385754","1385851660","黄河//Scent","10101005006",18,17,0,0,0,1,0,0
"426385754","1385851660","黄河//Scent","10102102006",15,0,0,0,11,2,2,0
"426385754","1385851660","黄河//Scent","10101149006",13,13,0,0,0,0,0,0
"426385754","1385851660","黄河//Scent","10702001001",11,0,0,1,2,4,3,1
"317960212","","","0",120,42,15,27,6,14,1,15
"317960212","","","10102089006",104,40,20,24,9,3,3,5
"317960212","","","10101234006",37,24,8,5,0,0,0,0
"317960212","","","10101156006",34,0,0,0,0,32,0,2
"317960212","","","10102133006",25,0,0,0,4,19,0,2
"317960212","","","10101102006",24,20,0,0,0,4,0,0
"317960212","","","10305017006",16,4,11,0,1,0,0,0
"317960212","","","10202064006",14,0,7,7,0,0,0,0
"317960212","","","10102096006",11,3,3,0,2,3,0,0
"317960212","","","10101131006",11,0,3,7,0,1,0,0
"585885921","","","0",65,0,7,6,11,19,9,13
"585885921","","","10102133006",50,0,0,0,8,42,0,0
"585885921","","","10202018006",34,0,0,27,7,0,0,0
"585885921","","","10202019006",33,0,0,0,8,19,2,4
"585885921","","","10101156006",28,0,0,0,0,22,3,3
"585885921","","","10102089006",19,8,1,5,4,0,1,0
"585885921","","","10614011006",15,0,0,10,4,0,1,0
"585885921","","","10140002006",11,0,0,0,10,0,1,0
"585885921","","","10101234006",10,1,4,4,1,0,0,0
"585885921","","","10102102006",10,0,0,0,10,0,0,0
